bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,None,None,10.094604,10.086070,None,None,0.099063,0.099147,0.001982,1.000000
200,0,5,None,0,None,None,10.077042,10.094043,None,None,0.099235,0.099068,0.000992,0.999999
300,0,5,None,0,None,None,10.067649,10.081858,None,None,0.099328,0.099188,0.000662,1.000000
400,0,5,None,0,None,None,10.106367,10.089453,None,None,0.098948,0.099113,0.000495,0.999999
500,0,5,None,0,None,None,10.075517,10.090046,None,None,0.099250,0.099108,0.000397,0.999999
600,0,5,None,0,None,None,10.074617,10.065921,None,None,0.099259,0.099345,0.000331,1.000000
700,0,5,None,0,None,None,10.082805,10.077205,None,None,0.099179,0.099234,0.000283,1.000000
800,0,5,None,0,None,None,10.063078,10.074475,None,None,0.099373,0.099261,0.000248,1.000000
900,0,5,None,0,None,None,10.070560,10.076089,None,None,0.099299,0.099245,0.000221,1.000000
1000,0,5,None,0,None,None,10.105361,10.122234,None,None,0.098957,0.098792,0.000198,0.999999
