bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.442806,2.920351,6463538,6463538,11.638660,17.706196,0.293449,0.959000
200,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.795961,4.163849,6463538,6463538,10.781635,12.418392,0.116000,0.995047
300,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,2.922986,4.611200,6463538,6463538,17.690234,11.213633,0.096346,0.952191
400,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.445417,2.929462,6463538,6463538,11.631823,17.651127,0.073207,0.959459
500,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.850394,4.812604,6463538,6463538,10.660639,10.744351,0.042810,0.999985
600,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,2.937866,2.922257,6463538,6463538,17.600634,17.694644,0.058825,0.999993
700,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,5.028279,2.946258,6463538,6463538,10.283500,17.550503,0.039763,0.936185
800,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.814391,2.946141,6463538,6463538,10.740362,17.551198,0.035364,0.945220
900,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,4.860277,4.463592,6463538,6463538,10.638962,11.584461,0.024693,0.998193
1000,0,5,None,0,cc83be85db391e9396e1427b3e124968,cc83be85db391e9396e1427b3e124968,2.928274,4.988219,6463538,6463538,17.658285,10.366086,0.028024,0.936585
