bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.365629,7.395224,32317690,32317690,35.101077,34.960607,0.700617,0.999996
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.362101,7.073354,32317690,32317690,30.918249,36.551472,0.337349,0.993077
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,5.965406,6.874302,32317690,32317690,43.340137,37.609858,0.269833,0.995014
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.208368,7.075383,32317690,32317690,41.644039,36.540992,0.195463,0.995758
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.672292,6.748341,32317690,32317690,33.698083,38.311862,0.144020,0.995912
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.785519,6.525831,32317690,32317690,29.428143,39.618176,0.115077,0.978684
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.228539,6.655839,32317690,32317690,35.766775,38.844317,0.106587,0.998302
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.029130,6.498199,32317690,32317690,32.200442,39.786645,0.089984,0.989016
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.102233,7.378372,32317690,32317690,42.368343,35.040457,0.086010,0.991118
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.409823,7.429515,32317690,32317690,34.891725,34.799245,0.069691,0.999998
